https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DOG
1650848400000,2022-04-25 01:00:00,DOG/USD,128060,128600,124810,128220,74.3175942,0.00057961
1650844800000,2022-04-25 00:00:00,DOG/USD,134080,134080,125070,125140,303.68099220000005,0.00242673
1650841200000,2022-04-24 23:00:00,DOG/USD,134640,134690,130800,132970,106.9690462,0.00080446
1650837600000,2022-04-24 22:00:00,DOG/USD,133300,134850,130750,133240,97.07066959999999,0.00072854
1650834000000,2022-04-24 21:00:00,DOG/USD,132910,134630,129390,134630,114.1325825,0.00084775
1650830400000,2022-04-24 20:00:00,DOG/USD,132130,133130,129950,132920,55.1764212,0.00041511
1650826800000,2022-04-24 19:00:00,DOG/USD,132320,132320,129540,132140,121.6956544,0.00092096
1650823200000,2022-04-24 18:00:00,DOG/USD,132430,132430,129460,132330,74.2980018,0.00056146
1650819600000,2022-04-24 17:00:00,DOG/USD,131560,133980,128430,129170,106.6375852,0.00082556
1650816000000,2022-04-24 16:00:00,DOG/USD,134140,135620,131470,131560,194.25360239999998,0.00147654
1650812400000,2022-04-24 15:00:00,DOG/USD,134380,135640,130350,131460,110.40931020000001,0.00083987
1650808800000,2022-04-24 14:00:00,DOG/USD,133600,134990,131690,134350,102.8838865,0.00076579
1650805200000,2022-04-24 13:00:00,DOG/USD,134100,135140,131620,133540,109.53885580000001,0.00082027
1650801600000,2022-04-24 12:00:00,DOG/USD,133920,135060,131300,134110,118.26088019999999,0.00088182
1650798000000,2022-04-24 11:00:00,DOG/USD,133180,136740,129580,135610,242.0462207,0.00178487
1650794400000,2022-04-24 10:00:00,DOG/USD,133070,136970,132750,132950,106.009012,0.00079736
1650790800000,2022-04-24 09:00:00,DOG/USD,135380,136860,132770,135340,122.4935272,0.0009050800000000001
1650787200000,2022-04-24 08:00:00,DOG/USD,135430,136870,133410,133470,110.17281150000001,0.00082545
1650783600000,2022-04-24 07:00:00,DOG/USD,135520,135520,133370,135430,121.68520930000001,0.00089851
1650780000000,2022-04-24 06:00:00,DOG/USD,132750,135750,132750,135350,122.261655,0.0009033
1650776400000,2022-04-24 05:00:00,DOG/USD,135350,136660,132750,135180,109.083501,0.00080695
1650772800000,2022-04-24 04:00:00,DOG/USD,133270,136910,133270,136660,122.5539548,0.00089678
1650769200000,2022-04-24 03:00:00,DOG/USD,132900,136960,132900,135360,109.2477024,0.00080709
1650765600000,2022-04-24 02:00:00,DOG/USD,133100,135670,132760,134960,125.47906,0.00092975
1650762000000,2022-04-24 01:00:00,DOG/USD,135380,135450,132770,135070,98.78884729999999,0.00073139
1650758400000,2022-04-24 00:00:00,DOG/USD,135250,136110,132760,135400,110.361832,0.00081508
1650754800000,2022-04-23 23:00:00,DOG/USD,136830,136830,132750,132750,160.709805,0.00121062
1650751200000,2022-04-23 22:00:00,DOG/USD,134320,136840,134240,136190,113.94200160000001,0.00083664
1650747600000,2022-04-23 21:00:00,DOG/USD,136410,137870,132760,136590,110.1133944,0.00080616
1650744000000,2022-04-23 20:00:00,DOG/USD,136370,136440,133590,136430,119.3871644,0.00087508
1650740400000,2022-04-23 19:00:00,DOG/USD,134890,137720,132800,133780,113.21400059999999,0.00084627
1650736800000,2022-04-23 18:00:00,DOG/USD,134770,138070,134770,136270,110.02848610000001,0.00080743
1650733200000,2022-04-23 17:00:00,DOG/USD,136710,137970,134640,136590,110.2773024,0.00080736
1650729600000,2022-04-23 16:00:00,DOG/USD,136790,138510,133010,138460,122.3487944,0.00088364
1650726000000,2022-04-23 15:00:00,DOG/USD,135770,138270,132800,136580,102.749134,0.0007523
