https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ETH
1672185600000,2022-12-28 00:00:00,ETH/USD,1212.7,1214.1,1210.1,1210.1,54843.371346672,45.32135472
1672182000000,2022-12-27 23:00:00,ETH/USD,1212.4,1214.6,1212.4,1212.9,65907.719756658,54.33895602
1672178400000,2022-12-27 22:00:00,ETH/USD,1212.6,1215.7,1212.0,1212.4,147112.346204628,121.33977747
1672174800000,2022-12-27 21:00:00,ETH/USD,1210.6,1213.1,1209.7,1212.7,105691.448003855,87.15382865
1672171200000,2022-12-27 20:00:00,ETH/USD,1212.0,1213.1,1210.2,1210.5,104671.83152646001,86.46991452
1672167600000,2022-12-27 19:00:00,ETH/USD,1207.9,1212.1,1206.7,1212.1,224372.556357003,185.11059843
1672164000000,2022-12-27 18:00:00,ETH/USD,1209.0,1209.8,1206.9,1207.9,1506684.7237028643,1247.35882416
1672160400000,2022-12-27 17:00:00,ETH/USD,1211.4,1213.1,1202.9,1209.3,4302960.658288581,3558.22431017
1672156800000,2022-12-27 16:00:00,ETH/USD,1212.3,1213.7,1210.2,1211.4,1124909.2748377621,928.60267033
1672153200000,2022-12-27 15:00:00,ETH/USD,1211.9,1218.9,1208.1,1212.5,1679642.677269375,1385.27231115
1672149600000,2022-12-27 14:00:00,ETH/USD,1218.7,1219.6,1207.0,1211.9,1956409.993615712,1614.33286048
1672146000000,2022-12-27 13:00:00,ETH/USD,1217.9,1219.7,1215.9,1218.8,145216.446673408,119.14706816
1672142400000,2022-12-27 12:00:00,ETH/USD,1220.8,1220.8,1216.6,1218.1,97175.56192221798,79.77634178
1672138800000,2022-12-27 11:00:00,ETH/USD,1222.8,1222.8,1218.9,1220.8,137498.18840732798,112.62957766
1672135200000,2022-12-27 10:00:00,ETH/USD,1223.2,1224.7,1221.7,1223.0,126280.00686982,103.25429834
1672131600000,2022-12-27 09:00:00,ETH/USD,1218.6,1223.3,1217.7,1223.2,192167.82093432,157.1025351
1672128000000,2022-12-27 08:00:00,ETH/USD,1223.5,1223.7,1217.4,1218.7,871290.2448148429,714.93414689
1672124400000,2022-12-27 07:00:00,ETH/USD,1225.5,1225.5,1222.6,1223.5,89442.427713015,73.10374149
1672120800000,2022-12-27 06:00:00,ETH/USD,1224.4,1225.8,1223.4,1225.8,11295.05711976,9.2144372
1672117200000,2022-12-27 05:00:00,ETH/USD,1225.4,1226.2,1224.1,1224.2,190402.930008068,155.53253554
1672113600000,2022-12-27 04:00:00,ETH/USD,1225.0,1225.4,1223.7,1225.3,115150.42449525099,93.97733167
1672110000000,2022-12-27 03:00:00,ETH/USD,1226.2,1226.3,1223.5,1225.2,17590.188301428,14.35699339
1672106400000,2022-12-27 02:00:00,ETH/USD,1224.4,1226.6,1224.4,1226.2,30358.487501532003,24.75818586
1672102800000,2022-12-27 01:00:00,ETH/USD,1226.2,1227.5,1223.3,1224.3,67637.72180134199,55.24603594
1672099200000,2022-12-27 00:00:00,ETH/USD,1229.7,1234.9,1223.7,1225.7,340626.480541214,277.90363102
1672095600000,2022-12-26 23:00:00,ETH/USD,1220.2,1232.3,1218.2,1229.2,513186.688507248,417.49649244
1672092000000,2022-12-26 22:00:00,ETH/USD,1218.3,1220.3,1217.7,1219.9,31079.103842446002,25.47676354
1672088400000,2022-12-26 21:00:00,ETH/USD,1218.9,1220.9,1217.5,1218.3,27223.032004041,22.34509727
1672084800000,2022-12-26 20:00:00,ETH/USD,1219.4,1219.9,1218.0,1219.1,11731.221091962,9.62285382
1672081200000,2022-12-26 19:00:00,ETH/USD,1215.1,1221.8,1215.0,1219.1,179596.181185548,147.31866228
1672077600000,2022-12-26 18:00:00,ETH/USD,1216.4,1217.1,1214.5,1215.2,36922.646995528004,30.38400839
1672074000000,2022-12-26 17:00:00,ETH/USD,1218.1,1218.1,1215.7,1216.6,761667.6338866979,626.06249703
1672070400000,2022-12-26 16:00:00,ETH/USD,1217.2,1218.7,1216.6,1218.1,716603.14540698,588.2958258
1672066800000,2022-12-26 15:00:00,ETH/USD,1218.2,1218.5,1216.7,1217.2,2416564.8943521203,1985.3474321
1672063200000,2022-12-26 14:00:00,ETH/USD,1217.0,1218.9,1216.4,1218.3,1470121.3076982151,1206.69893105
1672059600000,2022-12-26 13:00:00,ETH/USD,1220.7,1221.2,1213.1,1217.2,398747.599221764,327.59414987
1672056000000,2022-12-26 12:00:00,ETH/USD,1221.3,1221.9,1220.5,1221.0,16988.58108222,13.91366182
1672052400000,2022-12-26 11:00:00,ETH/USD,1220.2,1222.6,1220.1,1221.4,44720.48724283201,36.61412088
1672048800000,2022-12-26 10:00:00,ETH/USD,1220.5,1224.2,1220.4,1220.8,60646.235269423996,49.67745353
1672045200000,2022-12-26 09:00:00,ETH/USD,1220.7,1222.0,1220.0,1220.7,24592.877129964003,20.14653652
1672041600000,2022-12-26 08:00:00,ETH/USD,1222.0,1222.4,1219.7,1220.6,130330.37522207398,106.77566379
1672038000000,2022-12-26 07:00:00,ETH/USD,1220.6,1222.7,1220.5,1222.4,31733.85048928,25.96028345
