https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume LTC
1672185600000,2022-12-28 00:00:00,LTC/USD,68.768,68.768,68.323,68.39,13397.167081179701,195.89365523
1672182000000,2022-12-27 23:00:00,LTC/USD,68.53,68.908,68.53,68.768,8202.20400422304,119.27355753
1672178400000,2022-12-27 22:00:00,LTC/USD,68.124,68.7,68.124,68.57,14919.849542068298,217.58567219
1672174800000,2022-12-27 21:00:00,LTC/USD,68.08,68.152,67.9,68.15,2878.226040287,42.23369098
1672171200000,2022-12-27 20:00:00,LTC/USD,68.299,68.415,67.942,67.998,32828.76628361106,482.79017447
1672167600000,2022-12-27 19:00:00,LTC/USD,68.239,68.374,67.858,68.25,41235.91034745,604.1891626
1672164000000,2022-12-27 18:00:00,LTC/USD,68.95,69.202,67.916,68.23,109928.68042562941,1611.14876778
1672160400000,2022-12-27 17:00:00,LTC/USD,70.125,70.234,68.754,68.992,95549.09382539136,1384.93004733
1672156800000,2022-12-27 16:00:00,LTC/USD,69.958,70.349,69.695,70.046,61695.64416062786,880.78754191
1672153200000,2022-12-27 15:00:00,LTC/USD,69.597,70.252,69.414,69.986,25025.97992487558,357.58551603
1672149600000,2022-12-27 14:00:00,LTC/USD,69.929,70.129,69.271,69.581,113038.08422565648,1624.55389008
1672146000000,2022-12-27 13:00:00,LTC/USD,69.888,70.192,69.832,69.832,6252.9834693396,89.54323905
1672142400000,2022-12-27 12:00:00,LTC/USD,70.266,70.266,69.812,69.902,22336.090904020042,319.53436102
1672138800000,2022-12-27 11:00:00,LTC/USD,70.336,70.392,70.071,70.267,7932.492849724309,112.89072893
1672135200000,2022-12-27 10:00:00,LTC/USD,70.542,70.739,70.27,70.392,12068.983545433919,171.45390876
1672131600000,2022-12-27 09:00:00,LTC/USD,70.044,70.524,69.71,70.518,41785.099837577465,592.54516347
1672128000000,2022-12-27 08:00:00,LTC/USD,70.331,70.336,70.04,70.044,5618.438927921039,80.21299366
1672124400000,2022-12-27 07:00:00,LTC/USD,70.363,70.417,70.308,70.322,5345.11051461814,76.00907987
1672120800000,2022-12-27 06:00:00,LTC/USD,70.14,70.376,70.116,70.321,9094.01985471133,129.32153773000002
1672117200000,2022-12-27 05:00:00,LTC/USD,70.476,70.476,69.98,70.142,18319.79660205178,261.18155459
1672113600000,2022-12-27 04:00:00,LTC/USD,70.456,70.504,70.361,70.434,16372.537542007918,232.45218988
1672110000000,2022-12-27 03:00:00,LTC/USD,70.588,70.631,70.413,70.434,7960.514955955379,113.02091257
1672106400000,2022-12-27 02:00:00,LTC/USD,70.667,71.179,70.573,70.591,8978.77421700133,127.19431963
1672102800000,2022-12-27 01:00:00,LTC/USD,70.547,70.671,70.32,70.67,8598.932416488,121.6772664
1672099200000,2022-12-27 00:00:00,LTC/USD,70.868,70.963,70.158,70.543,15168.165058101771,215.02013039
1672095600000,2022-12-26 23:00:00,LTC/USD,70.15,70.964,69.991,70.803,97002.86507429948,1370.03891183
1672092000000,2022-12-26 22:00:00,LTC/USD,69.988,70.224,69.931,70.13,4991.047355935899,71.16850643
1672088400000,2022-12-26 21:00:00,LTC/USD,70.25,70.266,69.88,69.97,14525.4996431744,207.59610752
1672084800000,2022-12-26 20:00:00,LTC/USD,70.267,70.396,70.182,70.211,9534.24248500503,135.79414173
1672081200000,2022-12-26 19:00:00,LTC/USD,70.266,70.531,70.202,70.294,6405.39428753042,91.12291643
1672077600000,2022-12-26 18:00:00,LTC/USD,70.118,70.35,70.045,70.238,27877.181419380722,396.89600244
1672074000000,2022-12-26 17:00:00,LTC/USD,70.392,70.392,69.953,70.114,14160.96639178276,201.97059634
1672070400000,2022-12-26 16:00:00,LTC/USD,69.874,70.629,69.783,70.42,17611.932253951,250.09844155
1672066800000,2022-12-26 15:00:00,LTC/USD,70.195,70.26,69.79,69.917,28128.1411264198,402.3076094
1672063200000,2022-12-26 14:00:00,LTC/USD,70.462,70.476,69.912,70.143,49928.04109460526,711.80361682
1672059600000,2022-12-26 13:00:00,LTC/USD,70.67,70.768,70.435,70.462,22856.66564572062,324.38286801
1672056000000,2022-12-26 12:00:00,LTC/USD,70.588,70.841,70.304,70.669,26850.699502214316,379.95018328
1672052400000,2022-12-26 11:00:00,LTC/USD,70.616,71.008,70.473,70.532,61248.24243967044,868.37524017
1672048800000,2022-12-26 10:00:00,LTC/USD,69.21,71.649,69.19,70.597,435478.10037904076,6168.5071657299995
1672045200000,2022-12-26 09:00:00,LTC/USD,69.089,69.527,68.965,69.233,38293.672601085695,553.11300393
1672041600000,2022-12-26 08:00:00,LTC/USD,68.924,69.096,68.687,69.039,24454.04159394999,354.20619641
1672038000000,2022-12-26 07:00:00,LTC/USD,69.024,69.216,68.9,68.95,15076.6651269185,218.66084303
1672034400000,2022-12-26 06:00:00,LTC/USD,69.23,69.57,69.018,69.02,15247.801824455199,220.91860076
1672030800000,2022-12-26 05:00:00,LTC/USD,69.006,69.279,68.896,69.147,12679.288053451111,183.36714613
1672027200000,2022-12-26 04:00:00,LTC/USD,69.201,69.395,68.867,69.005,8986.5107054032,130.22984864
1672023600000,2022-12-26 03:00:00,LTC/USD,69.439,69.464,69.095,69.186,6822.093927796681,98.60512138
1672020000000,2022-12-26 02:00:00,LTC/USD,68.852,69.461,68.852,69.443,13543.72226596719,195.03365733
1672016400000,2022-12-26 01:00:00,LTC/USD,68.885,68.928,68.658,68.86,20851.3749374634,302.80823319
1672012800000,2022-12-26 00:00:00,LTC/USD,69.199,69.219,68.721,68.8,61267.318550175994,890.51335102
1672009200000,2022-12-25 23:00:00,LTC/USD,68.747,69.778,68.609,69.241,160297.51532703335,2315.06643935
1672005600000,2022-12-25 22:00:00,LTC/USD,68.043,69.314,67.915,68.771,168484.33350042484,2449.93287142
1672002000000,2022-12-25 21:00:00,LTC/USD,67.186,68.565,67.103,68.124,46184.64312152039,677.9496670999999
1671998400000,2022-12-25 20:00:00,LTC/USD,67.428,67.512,66.964,67.169,15215.25465564906,226.52197674
1671994800000,2022-12-25 19:00:00,LTC/USD,66.276,67.517,66.123,67.477,76735.44194594736,1137.20885555
1671991200000,2022-12-25 18:00:00,LTC/USD,66.371,66.443,66.277,66.29,5295.721675284601,79.88718774
1671987600000,2022-12-25 17:00:00,LTC/USD,66.299,66.425,66.262,66.346,8368.4878766888,126.1340228
