https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XRP
1672185600000,2022-12-28 00:00:00,XRP/USD,0.36798,0.36903,0.36627,0.3667,87466.05237582768,238522.09537995
1672182000000,2022-12-27 23:00:00,XRP/USD,0.37121,0.37189,0.36771,0.36798,219149.50562546763,595547.32764136
1672178400000,2022-12-27 22:00:00,XRP/USD,0.37024,0.37249,0.37024,0.37124,199991.7382572211,538712.79565031
1672174800000,2022-12-27 21:00:00,XRP/USD,0.3699,0.37074,0.36973,0.3701,55434.57253816417,149782.68721471
1672171200000,2022-12-27 20:00:00,XRP/USD,0.37,0.37179,0.36909,0.3698,150752.10779351898,407658.48510956997
1672167600000,2022-12-27 19:00:00,XRP/USD,0.3673,0.37049,0.36683,0.37005,147260.29381910307,397947.0174817
1672164000000,2022-12-27 18:00:00,XRP/USD,0.36891,0.37036,0.36657,0.3674,127279.18200584708,346432.17747917003
1672160400000,2022-12-27 17:00:00,XRP/USD,0.36913,0.36959,0.36606,0.3687,122594.13047685794,332503.74417374
1672156800000,2022-12-27 16:00:00,XRP/USD,0.36947,0.37079,0.36837,0.36918,685322.8541807539,1856337.97654465
1672153200000,2022-12-27 15:00:00,XRP/USD,0.36689,0.37168,0.36573,0.36967,302543.9116382731,818416.18643188
1672149600000,2022-12-27 14:00:00,XRP/USD,0.36891,0.36949,0.3644,0.367,288955.48093516054,787344.63470071
1672146000000,2022-12-27 13:00:00,XRP/USD,0.36769,0.36959,0.36703,0.36894,48440.11085312187,131295.36199144
1672142400000,2022-12-27 12:00:00,XRP/USD,0.36889,0.3689,0.36669,0.36778,89837.46895979703,244269.58768774002
1672138800000,2022-12-27 11:00:00,XRP/USD,0.37152,0.37163,0.36792,0.3688,56740.66775778101,153852.13600266
1672135200000,2022-12-27 10:00:00,XRP/USD,0.37175,0.37213,0.37047,0.37143,86044.31868566813,231656.89008876
1672131600000,2022-12-27 09:00:00,XRP/USD,0.37018,0.37207,0.36902,0.3715,427834.40234866546,1151640.38317272
1672128000000,2022-12-27 08:00:00,XRP/USD,0.3684,0.3735,0.36711,0.37032,365043.0230116015,985750.22416181
1672124400000,2022-12-27 07:00:00,XRP/USD,0.36921,0.3708,0.36604,0.36815,558169.3804342893,1516146.62619663
1672120800000,2022-12-27 06:00:00,XRP/USD,0.36198,0.36953,0.36189,0.36949,225708.31956277072,610864.48770676
1672117200000,2022-12-27 05:00:00,XRP/USD,0.3609,0.36213,0.35985,0.3619,256548.41771398947,708893.11332962
1672113600000,2022-12-27 04:00:00,XRP/USD,0.35924,0.36103,0.35912,0.36091,83706.96952893054,231933.08450564
1672110000000,2022-12-27 03:00:00,XRP/USD,0.36201,0.36212,0.3589,0.35921,142511.34466431866,396735.46021636
1672106400000,2022-12-27 02:00:00,XRP/USD,0.36278,0.36399,0.36073,0.36228,146754.90679873226,405086.96808748
1672102800000,2022-12-27 01:00:00,XRP/USD,0.36368,0.36368,0.36191,0.36278,102239.32607914749,281821.83714413
1672099200000,2022-12-27 00:00:00,XRP/USD,0.3664,0.36803,0.36278,0.36382,839843.2813759871,2308403.2801275
1672095600000,2022-12-26 23:00:00,XRP/USD,0.36701,0.36745,0.36526,0.36658,117035.98028580636,319264.49966121
1672092000000,2022-12-26 22:00:00,XRP/USD,0.3672,0.37041,0.3669,0.3669,137537.49208073525,374863.70150105
1672088400000,2022-12-26 21:00:00,XRP/USD,0.3699,0.37031,0.3664,0.36707,250295.4121577276,681873.79017007
1672084800000,2022-12-26 20:00:00,XRP/USD,0.3671,0.3701,0.36582,0.36989,358149.7402754854,968260.13213519
1672081200000,2022-12-26 19:00:00,XRP/USD,0.3655,0.3704,0.36502,0.36705,693862.9396207234,1890377.16828967
1672077600000,2022-12-26 18:00:00,XRP/USD,0.36535,0.36741,0.36348,0.36544,557723.9194220441,1526170.97039745
1672074000000,2022-12-26 17:00:00,XRP/USD,0.35986,0.36612,0.35851,0.36511,559395.9758726222,1532129.97691825
1672070400000,2022-12-26 16:00:00,XRP/USD,0.35705,0.36056,0.35672,0.35985,396734.9638721412,1102500.94170388
1672066800000,2022-12-26 15:00:00,XRP/USD,0.35623,0.35695,0.35482,0.35693,55233.94783672824,154747.2833237
1672063200000,2022-12-26 14:00:00,XRP/USD,0.35644,0.35673,0.35515,0.35626,92516.63941388037,259688.54043081
1672059600000,2022-12-26 13:00:00,XRP/USD,0.35258,0.35717,0.35246,0.3565,239146.62304108142,670818.01694553
1672056000000,2022-12-26 12:00:00,XRP/USD,0.3512,0.35297,0.35112,0.35257,23495.839201103194,66641.62918315
