iter	Passed	Remaining
0	32	32221
1	56	28435
2	81	27072
3	103	25762
4	125	24951
5	145	24065
6	162	23048
7	180	22354
8	196	21665
9	215	21309
10	231	20799
11	247	20381
12	265	20172
13	281	19825
14	298	19619
15	317	19512
16	334	19361
17	350	19145
18	369	19084
19	387	18978
20	403	18794
21	421	18741
22	438	18611
23	456	18554
24	474	18494
25	490	18382
26	508	18333
27	525	18226
28	543	18203
29	560	18137
30	578	18072
31	596	18033
32	613	17967
33	631	17929
34	649	17895
35	665	17829
36	682	17774
37	699	17698
38	716	17652
39	734	17632
40	751	17589
41	770	17572
42	787	17529
43	805	17505
44	822	17464
45	839	17407
46	857	17387
47	874	17336
48	890	17280
49	908	17266
50	926	17233
51	942	17188
52	962	17199
53	979	17158
54	996	17121
55	1015	17110
56	1031	17071
57	1047	17016
58	1066	17007
59	1083	16972
60	1099	16922
61	1118	16916
62	1134	16873
63	1153	16872
64	1170	16833
65	1188	16818
66	1208	16824
67	1231	16876
68	1254	16931
69	1276	16956
70	1294	16938
71	1310	16894
72	1328	16874
73	1344	16829
74	1361	16792
75	1380	16779
76	1396	16736
77	1412	16697
78	1431	16687
79	1448	16661
80	1464	16617
81	1483	16609
82	1501	16584
83	1516	16540
84	1535	16525
85	1551	16486
86	1568	16458
87	1586	16439
88	1605	16430
89	1621	16399
90	1640	16389
91	1657	16359
92	1676	16347
93	1694	16335
94	1711	16305
95	1730	16297
96	1747	16263
97	1766	16255
98	1783	16232
99	1800	16200
100	1819	16194
101	1836	16165
102	1856	16170
103	1872	16134
104	1888	16096
105	1908	16096
106	1925	16071
107	1942	16044
108	1960	16022
109	1976	15987
110	1994	15974
111	2010	15941
112	2027	15912
113	2045	15893
114	2062	15871
115	2079	15847
116	2100	15849
117	2119	15840
118	2138	15831
119	2153	15795
120	2171	15774
121	2193	15783
122	2212	15778
123	2230	15756
124	2249	15743
125	2265	15713
126	2284	15705
127	2300	15674
128	2316	15644
129	2336	15635
130	2352	15604
131	2368	15576
132	2388	15571
133	2404	15541
134	2422	15521
135	2440	15506
136	2457	15482
137	2474	15457
138	2493	15446
139	2510	15422
140	2528	15402
141	2546	15387
142	2564	15366
143	2582	15352
144	2600	15331
145	2617	15309
146	2635	15291
147	2651	15262
148	2669	15246
149	2689	15237
150	2709	15231
151	2730	15231
152	2752	15239
153	2772	15230
154	2791	15220
155	2812	15215
156	2828	15188
157	2845	15165
158	2864	15151
159	2880	15124
160	2898	15104
161	2916	15088
162	2932	15060
163	2951	15044
164	2969	15025
165	2985	14999
166	3004	14984
167	3022	14968
168	3039	14945
169	3058	14932
170	3075	14911
171	3094	14895
172	3110	14869
173	3127	14844
174	3145	14826
175	3161	14801
176	3180	14786
177	3197	14765
178	3216	14753
179	3237	14750
180	3255	14728
181	3274	14716
182	3291	14694
183	3309	14675
184	3326	14652
185	3344	14634
186	3363	14624
187	3380	14602
188	3399	14586
189	3416	14563
190	3433	14541
191	3451	14524
192	3468	14504
193	3489	14497
194	3506	14476
195	3524	14459
196	3545	14451
197	3566	14446
198	3585	14432
199	3602	14408
200	3620	14392
201	3636	14367
202	3655	14350
203	3673	14335
204	3690	14312
205	3710	14300
206	3729	14289
207	3745	14263
208	3764	14245
209	3785	14241
210	3808	14241
211	3827	14226
212	3849	14222
213	3868	14208
214	3886	14189
215	3904	14172
216	3921	14150
217	3940	14135
218	3958	14116
219	3975	14095
220	3994	14081
221	4011	14059
222	4030	14043
223	4046	14017
224	4063	13995
225	4082	13980
226	4099	13959
227	4116	13937
228	4135	13923
229	4154	13907
230	4173	13893
231	4189	13868
232	4207	13849
233	4225	13830
234	4243	13813
235	4262	13797
236	4277	13772
237	4296	13755
238	4319	13753
239	4336	13733
240	4358	13725
241	4378	13716
242	4397	13699
243	4416	13685
244	4435	13668
245	4458	13665
246	4476	13645
247	4494	13627
248	4513	13612
249	4531	13595
250	4552	13583
251	4570	13566
252	4589	13549
253	4608	13534
254	4628	13523
255	4648	13509
256	4667	13494
257	4685	13475
258	4704	13460
259	4722	13440
260	4741	13425
261	4759	13406
262	4777	13388
263	4796	13372
264	4814	13353
265	4834	13339
266	4851	13320
267	4868	13297
268	4887	13281
269	4904	13259
270	4923	13243
271	4940	13222
272	4958	13204
273	4978	13192
274	4996	13171
275	5016	13158
276	5033	13138
277	5050	13117
278	5071	13107
279	5091	13092
280	5112	13080
281	5129	13060
282	5150	13049
283	5170	13036
284	5188	13016
285	5207	12999
286	5226	12983
287	5245	12967
288	5263	12949
289	5282	12931
290	5301	12916
291	5318	12895
292	5339	12884
293	5357	12864
294	5375	12846
295	5394	12829
296	5411	12809
297	5431	12795
298	5448	12774
299	5466	12754
300	5485	12738
301	5503	12719
302	5522	12703
303	5540	12685
304	5558	12665
305	5577	12649
306	5594	12629
307	5614	12613
308	5631	12593
309	5649	12574
310	5679	12583
311	5715	12603
312	5741	12601
313	5763	12591
314	5787	12586
315	5811	12580
316	5838	12578
317	5858	12563
318	5880	12554
319	5902	12543
320	5925	12534
321	5948	12524
322	5981	12536
323	6010	12540
324	6039	12543
325	6069	12548
326	6091	12536
327	6118	12534
328	6139	12521
329	6160	12508
330	6178	12487
331	6196	12468
332	6214	12447
333	6237	12437
334	6256	12420
335	6277	12405
336	6303	12401
337	6323	12384
338	6342	12366
339	6361	12348
340	6380	12331
341	6401	12316
342	6424	12306
343	6443	12288
344	6463	12271
345	6484	12257
